,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded
204,2020-12-22,2020-12-22,10.096,10.577,9.69,10.51,641675.764
205,2020-12-23,2020-12-23,10.48,10.589,5.858,9.022,1483967.158
206,2020-12-24,2020-12-24,9.027,9.7,8.09,9.506,1397609.814
207,2020-12-25,2020-12-25,9.508,9.79,9.077,9.47,763596.973
208,2020-12-26,2020-12-26,9.473,9.68,8.7,8.98,895340.072
209,2020-12-27,2020-12-27,8.973,10.79,8.55,9.875,2170708.609
210,2020-12-28,2020-12-28,9.859,10.631,9.7,10.32,913683.201
211,2020-12-29,2020-12-29,10.306,10.668,8.82,9.591,1190345.6
212,2020-12-30,2020-12-30,9.59,9.76,9.0,9.165,501642.794
213,2020-12-31,2020-12-31,9.152,9.59,8.91,9.185,558509.476
214,2021-01-01,2021-01-01,9.18,10.21,9.064,9.741,748578.251
215,2021-01-02,2021-01-02,9.695,10.12,8.609,9.862,1106848.932
216,2021-01-03,2021-01-03,9.849,11.33,9.3,10.647,1733539.131
217,2021-01-04,2021-01-04,10.773,12.84,9.5,11.09,2483124.238
218,2021-01-05,2021-01-05,11.074,12.15,10.68,11.812,1435220.345
219,2021-01-06,2021-01-06,11.805,14.092,11.481,13.955,2502772.083
220,2021-01-07,2021-01-07,13.977,14.196,12.01,13.011,1893376.603
221,2021-01-08,2021-01-08,13.012,13.254,11.25,12.465,1514077.659
222,2021-01-09,2021-01-09,12.386,13.76,12.237,13.569,541403.518
